Comuna;ID
Alhué;1
Buin;2
Calera de Tango;3
Cerrillos;4
Cerro Navia;5
Colina;6
Conchalí;7
Curacaví;8
El Bosque;9
El Monte;10
Estación Central;11
Huechuraba;12
Independencia;13
Isla de Maipo;14
La Cisterna;15
La Florida;16
La Granja;17
La Pintana;18
La Reina;19
Lampa;20
Las Condes;21
Lo Barnechea;22
Lo Espejo;23
Lo Prado;24
Macul;25
Maipú;26
María Pinto;27
Melipilla;28
Ñuñoa;29
Padre Hurtado;30
Paine;31
Pedro Aguirre Cerda;32
Peñaflor;33
Peñalolén;34
Pirque;35
Providencia;36
Pudahuel;37
Puente Alto;38
Quilicura;39
Quinta Normal;40
Recoleta;41
Renca;42
San Bernardo;43
San Joaquín;44
San José de Maipo;45
San Miguel;46
San Pedro;47
San Ramón;48
Santiago;49
Talagante;50
Tiltil;51
Vitacura;52
V Región;53
X Región;54
VI Región;55
Angol;56
Carahue;57
Cholchol;58
Collipulli;59
Cunco;60
Curacautín;61
Curarrehue;62
Ercilla;63
Freire;64
Galvarino;65
Gorbea;66
Lautaro;67
Loncoche;68
Lonquimay;69
Los Sauces;70
Lumaco;71
Melipeuco;72
Nueva Imperial;73
Padre Las Casas;74
Perquenco;75
Pitrufquén;76
Pucón;77
Puerto Saavedra;78
Purén;79
Renaico;80
Temuco;81
Teodoro Schmidt;82
Toltén;83
Traiguén;84
Victoria;85
Vilcún;86
Villarrica;87
